enhancer,entropy
chr1:1124600-1124942,9.64469686395118
chr1:1143531-1144198,10.589180427811
chr1:1814762-1815124,9.79274914795081
chr1:2221868-2222548,10.5964561318212
chr1:2501788-2502413,10.5152320130716
chr1:2505035-2505361,9.56014993959908
chr1:2772559-2772713,8.38021165483252
chr1:3233109-3233475,8.7235597772242
chr1:3374928-3375314,9.90217204439619
chr1:3420761-3421065,9.41838982500306
chr1:4327537-4327841,9.54105411341004
chr1:5160051-5160190,8.36839004525917
chr1:5172646-5173061,9.96067236399494
chr1:6088225-6088518,9.46067903915148
chr1:6373523-6373899,9.79014025202309
chr1:6661008-6661639,10.5340878816676
chr1:7538871-7539273,9.8760113987725
chr1:7609389-7609632,9.21403214572879
chr1:7656791-7657175,9.88087664099133
chr1:8070132-8070398,9.29563367504785
chr1:8107848-8108157,9.55367586847946
chr1:8686491-8686867,9.83763152597843
chr1:8690020-8690153,8.32129308281179
chr1:8933581-8933925,9.7708609406111
chr1:8971325-8971721,9.94325633721595
chr1:9223907-9224260,9.72496181842983
chr1:9291783-9292106,9.55411254177465
chr1:9293549-9293739,8.86520057947391
chr1:10695291-10695734,9.9832259150859
chr1:11376903-11377179,9.29651125733257
chr1:11410602-11410834,9.12480064638349
chr1:11415566-11415939,9.86434042388066
chr1:11559549-11559947,9.887632386538
chr1:11798209-11798600,9.94997257551972
chr1:11968510-11969143,10.4848535513076
chr1:12124472-12125118,10.6514680245245
chr1:12213128-12213883,10.8279068224815
chr1:12233600-12234159,10.3967828757246
chr1:12237719-12238747,11.2058622127233
chr1:12240401-12240902,10.2372976901428
chr1:12513404-12513748,9.66506325682249
chr1:12781566-12781783,9.05261233026208
chr1:13931629-13932064,9.85331335081805
chr1:13949833-13950153,9.55674357017444
chr1:14027926-14028325,9.90331527098689
chr1:14029077-14029879,10.8899955944076
chr1:14154959-14155163,8.92265964660198
chr1:14590335-14590448,8.0795440354093
chr1:14848264-14848527,9.30702178834386
chr1:15032293-15032599,9.53118351397672
chr1:15144272-15144506,9.10785543894083
chr1:15416988-15417263,9.34329486164781
chr1:15585949-15586132,8.75850285745719
chr1:15664580-15664866,9.47432524288679
chr1:15666999-15667145,8.43808785714653
chr1:15738146-15738632,10.1983270210551
chr1:15742467-15743324,11.0523585296865
chr1:15786440-15786713,9.33971512568577
chr1:16176617-16176801,8.73911056315055
chr1:16677236-16677843,10.3479306617843
chr1:16826315-16826438,8.00968326619842
