promoter,entropy
chr1:860120-862120,12.2890838758995
chr1:893679-895679,12.2465777236135
chr1:900876-902876,12.3039967444488
chr1:916497-918497,12.2919225221381
chr1:947846-949846,12.2618670821881
chr1:1008687-1010687,12.2342715700647
chr1:1108285-1110285,12.2888279000276
chr1:1259067-1261067,12.0420608523396
chr1:1259142-1261142,12.0448217517462
chr1:1265725-1267725,12.2979296879746
chr1:1297921-1299921,12.0004492355393
chr1:1341693-1343693,12.2650826595104
chr1:1355824-1357824,12.2987068271784
chr1:1360507-1362507,12.3008151931044
chr1:1509262-1511262,12.2452552586749
chr1:1549794-1551794,12.256080451681
chr1:1934276-1936276,12.1240001293883
chr1:2322190-2324190,12.2749586022766
chr1:2322213-2324213,12.2750241490124
chr1:2397897-2399897,12.2824426423739
chr1:2563481-2565481,12.2927144248872
chr1:2705230-2707230,12.2696019250619
chr1:2937045-2939045,12.2940877676997
chr1:3540555-3542555,12.2795675900094
chr1:3772797-3774797,12.2633339774729
chr1:3772830-3774830,12.2649718999577
chr1:6085072-6087072,12.0931648002145
chr1:6093347-6095347,12.2250230027527
chr1:6295044-6297044,12.2513395940766
chr1:6483847-6485847,12.2847468989023
chr1:6550761-6552761,12.2874046413322
chr1:6556484-6558484,12.3034254835964
chr1:6639050-6641050,12.282445440262
chr1:6661958-6663958,12.2531956210814
chr1:6672755-6674755,12.2513488533134
chr1:6760966-6762966,12.255800835148
chr1:8085393-8087393,12.1511204454151
chr1:8377144-8379144,12.2676214755159
chr1:8876699-8878699,12.2235994198858
chr1:8938151-8940151,12.2644959080879
chr1:9004892-9006892,12.259962264977
chr1:9128887-9130887,12.2332655978636
chr1:9188229-9190229,12.2302699127198
chr1:9298902-9300902,12.2603471626518
chr1:9710788-9712788,12.2711937711762
chr1:9969316-9971316,12.2642440097408
chr1:10001980-10003980,12.2572943616517
chr1:10002485-10004485,12.2602743404725
chr1:10056254-10058254,12.245976215015
chr1:10092040-10094040,12.2674201817225
chr1:10458048-10460048,12.2779172537677
chr1:10489158-10491158,12.2594410163351
chr1:10508775-10510775,12.1912888852792
chr1:10534002-10536002,12.2586739612345
chr1:11041094-11043094,12.2315181988586
chr1:11106296-11108296,12.2722973604883
chr1:11119091-11121091,12.2651060245582
chr1:11248345-11250345,12.2474604489138
chr1:11321608-11323608,12.1986208693978
chr1:11723149-11725149,12.243920339734
chr1:11821249-11823249,12.282909616252
chr1:11917992-11919992,12.2755681422682
chr1:11985485-11987485,12.2098800440016
chr1:11993723-11995723,12.2523339680813
chr1:12039237-12041237,12.2564624423108
chr1:12122433-12124433,11.0160010780831
chr1:12226059-12228059,12.2330572834745
chr1:12675788-12677788,12.270323347828
chr1:12805133-12807133,12.2446863987762
chr1:12833990-12835990,12.2881507246339
chr1:12890264-12892264,12.2137409379244
chr1:12915940-12917940,12.239425451777
chr1:13839242-13841242,12.2849591065161
chr1:13909251-13911251,12.2742500186752
chr1:13910966-13912966,12.2507073889072
chr1:14030349-14032349,12.2105976280621
chr1:14074875-14076875,12.2563708801787
chr1:15271414-15273414,12.2698536083344
chr1:15497120-15499120,12.2657360282007
chr1:15763937-15765937,12.1929684721512
chr1:15782222-15784222,12.2124382835276
chr1:15850285-15852285,12.0700840853928
chr1:15852307-15854307,12.2424776699555
chr1:15910605-15912605,12.1516448636342
chr1:15985207-15987207,12.2411858548421
chr1:16009797-16011797,12.1034940071817
chr1:16133194-16135194,12.1956003083067
